sessionId,vis,reported,truth,error
tewj5w0fkvrpoi64rys0c,Pie,95,75.68636115,4.280855296
tewj5w0fkvrpoi64rys0c,Pie,50,56.13137892,2.645327894
tewj5w0fkvrpoi64rys0c,Pie,50,51.13934156,0.3383862562
tewj5w0fkvrpoi64rys0c,Bar,65,63.84019719,0.361546955
tewj5w0fkvrpoi64rys0c,Bubble,80,57.66333092,4.48939323
tewj5w0fkvrpoi64rys0c,Pie,20,25.965117,2.606469944
tewj5w0fkvrpoi64rys0c,Bar,60,57.74059822,1.253627357
tewj5w0fkvrpoi64rys0c,Pie,75,59.86766637,3.931430954
tewj5w0fkvrpoi64rys0c,Bubble,50,23.63544684,4.727351603
tewj5w0fkvrpoi64rys0c,Bar,70,70.11777822,0
tewj5w0fkvrpoi64rys0c,Pie,50,58.01916657,3.025767068
tewj5w0fkvrpoi64rys0c,Bar,90,91.17547359,0.3790370982
tewj5w0fkvrpoi64rys0c,Pie,33,31.3467366,0.8304690384
tewj5w0fkvrpoi64rys0c,Bar,60,63.40090915,1.8179953
tewj5w0fkvrpoi64rys0c,Bar,60,58.28386819,0.8805929134
tewj5w0fkvrpoi64rys0c,Bar,98,98.54469956,0
tewj5w0fkvrpoi64rys0c,Pie,95,86.57987552,3.095101508
tewj5w0fkvrpoi64rys0c,Pie,33,42.22191615,3.224490452
tewj5w0fkvrpoi64rys0c,Bubble,80,59.87248074,4.340029474
tewj5w0fkvrpoi64rys0c,Bar,90,82.51144896,2.928569498
tewj5w0fkvrpoi64rys0c,Bar,45,45.19396892,0
tewj5w0fkvrpoi64rys0c,Pie,80,74.60960188,2.463465028
tewj5w0fkvrpoi64rys0c,Bubble,85,69.14697344,3.998017327
tewj5w0fkvrpoi64rys0c,Bubble,50,36.12567294,3.807285574
tewj5w0fkvrpoi64rys0c,Bar,55,52.33525739,1.48013202
tewj5w0fkvrpoi64rys0c,Pie,33,38.72834133,2.549260409
tewj5w0fkvrpoi64rys0c,Bubble,90,75.28060457,3.891846433
tewj5w0fkvrpoi64rys0c,Bubble,80,74.47322135,2.498704963
oe78pfv48p0k0q955s2nm,Bubble,80,73.68127531,2.687894855
oe78pfv48p0k0q955s2nm,Bar,100,99.14112848,0
oe78pfv48p0k0q955s2nm,Bubble,75,70.81491247,2.107717169
oe78pfv48p0k0q955s2nm,Bubble,50,56.08104908,2.633675106
oe78pfv48p0k0q955s2nm,Bar,50,48.05404364,1.050297154
oe78pfv48p0k0q955s2nm,Bubble,50,54.37061443,2.168518308
oe78pfv48p0k0q955s2nm,Bubble,50,43.57586352,2.711304697
oe78pfv48p0k0q955s2nm,Bar,50,46.48489885,1.86397854
oe78pfv48p0k0q955s2nm,Bubble,90,67.66417268,4.489339164
oe78pfv48p0k0q955s2nm,Pie,33,27.69568102,2.440771246
oe78pfv48p0k0q955s2nm,Bar,75,88.03267966,3.717833188
oe78pfv48p0k0q955s2nm,Bar,30,33.66609645,1.922615162
oe78pfv48p0k0q955s2nm,Bar,75,84.31808334,3.239258003
oe78pfv48p0k0q955s2nm,Bubble,50,36.90812551,3.724309146
oe78pfv48p0k0q955s2nm,Pie,25,34.71054067,3.298004361
oe78pfv48p0k0q955s2nm,Bubble,85,82.51015972,1.386722827
oe78pfv48p0k0q955s2nm,Bar,75,77.72347877,1.510191656
oe78pfv48p0k0q955s2nm,Pie,40,48.81113028,3.159650218
oe78pfv48p0k0q955s2nm,Bar,85,92.51180918,2.932969976
oe78pfv48p0k0q955s2nm,Bubble,25,22.54688972,1.366313975
oe78pfv48p0k0q955s2nm,Pie,75,72.86683646,1.175149975
oe78pfv48p0k0q955s2nm,Bubble,100,94.95422505,2.370380514
oe78pfv48p0k0q955s2nm,Pie,35,25.53950027,3.260853647
oe78pfv48p0k0q955s2nm,Bar,40,36.09258407,2.011644455
oe78pfv48p0k0q955s2nm,Bubble,33,31.69168826,0.5193524278
oe78pfv48p0k0q955s2nm,Bubble,50,56.41098762,2.70840525
oe78pfv48p0k0q955s2nm,Pie,25,26.53411652,0.7304152129
oe78pfv48p0k0q955s2nm,Bar,75,76.16914519,0.3719994873
oe78pfv48p0k0q955s2nm,Bar,90,91.02850526,0.2060245876
oe78pfv48p0k0q955s2nm,Bubble,80,72.10647521,3.003336841
oe78pfv48p0k0q955s2nm,Bubble,15,24.89509483,3.324824257
oe78pfv48p0k0q955s2nm,Pie,50,48.28480859,0.8798558413
oe78pfv48p0k0q955s2nm,Pie,45,41.56654364,1.831251544
oe78pfv48p0k0q955s2nm,Pie,85,77.45769819,2.938718971
oe78pfv48p0k0q955s2nm,Bubble,100,98.96471131,0.2144838053
oe78pfv48p0k0q955s2nm,Pie,25,24.46558572,0
